band_um,model,flux_mjy,bin_min_mjy,bin_max_mjy,N_bin,euclidean_jy15_deg2,euclidean_err_jy15_deg2
350,fsps_lirnorm,588.7040186524744,493.39642747481366,702.4218301525182,0,,
350,fsps_lirnorm,838.10609719326,702.4218301525182,1000.0,1,1.6908908657675317,1.6908908657675317
350,resthybrid25,5.9658317923524695,5.000000000000001,7.118229794928693,5730,5.818730007108846,0.07686894049743866
350,resthybrid25,8.493232323171238,7.118229794928693,10.133839082682117,4105,7.080920935819618,0.11051803750393845
350,resthybrid25,12.091355875609787,10.133839082682117,14.426999059072134,2564,7.51272694008687,0.14836743674274072
350,resthybrid25,17.21380993097034,14.426999059072134,20.5389389107391,1355,6.744067028710247,0.18321128908589157
350,resthybrid25,24.5063709469745,20.5389389107391,29.240177382128667,664,5.613757674348217,0.21785604850666646
350,resthybrid25,34.888395968065744,29.240177382128667,41.62766037009365,261,3.748254657539972,0.2320111387351982
350,resthybrid25,49.66872393543112,41.62766037009365,59.26305046791458,98,2.390659131083348,0.24149304044208209
350,resthybrid25,70.71067811865476,59.26305046791458,84.36960231581453,34,1.4088783587699003,0.2416206451669379
350,resthybrid25,100.66697116076413,84.36960231581453,120.11244339814311,21,1.4781444443443588,0.3225575621088792
350,resthybrid25,143.3141266963557,120.11244339814311,170.99759466766963,9,1.0760763576875558,0.35869211922918526
350,resthybrid25,204.02857733683695,170.99759466766963,243.4400346449093,1,0.2030970334069399,0.2030970334069399
350,resthybrid25,290.4644596431972,243.4400346449093,346.5724215775732,0,,
350,resthybrid25,413.5185542000137,346.5724215775732,493.39642747481366,0,,
350,resthybrid25,588.7040186524744,493.39642747481366,702.4218301525182,0,,
350,resthybrid25,838.10609719326,702.4218301525182,1000.0,1,1.6908908657675317,1.6908908657675317
350,resthybrid50,5.9658317923524695,5.000000000000001,7.118229794928693,5294,5.375978474281716,0.07388657793490597
350,resthybrid50,8.493232323171238,7.118229794928693,10.133839082682117,3562,6.144272928962113,0.1029493339644395
350,resthybrid50,12.091355875609787,10.133839082682117,14.426999059072134,1950,5.713657384231435,0.12938886074271874
350,resthybrid50,17.21380993097034,14.426999059072134,20.5389389107391,987,4.912468012794844,0.1563655796692528
350,resthybrid50,24.5063709469745,20.5389389107391,29.240177382128667,427,3.6100519984136876,0.17470266095660278
350,resthybrid50,34.888395968065744,29.240177382128667,41.62766037009365,141,2.0249191828089503,0.1705289579807003
350,resthybrid50,49.66872393543112,41.62766037009365,59.26305046791458,53,1.2929074892593617,0.1775945018581495
350,resthybrid50,70.71067811865476,59.26305046791458,84.36960231581453,27,1.1188151672584503,0.21531607933003416
350,resthybrid50,100.66697116076413,84.36960231581453,120.11244339814311,13,0.9150417988798412,0.25378693269646724
350,resthybrid50,143.3141266963557,120.11244339814311,170.99759466766963,5,0.5978201987153088,0.2673533205299726
350,resthybrid50,204.02857733683695,170.99759466766963,243.4400346449093,0,,
350,resthybrid50,290.4644596431972,243.4400346449093,346.5724215775732,0,,
350,resthybrid50,413.5185542000137,346.5724215775732,493.39642747481366,0,,
350,resthybrid50,588.7040186524744,493.39642747481366,702.4218301525182,0,,
350,resthybrid50,838.10609719326,702.4218301525182,1000.0,1,1.6908908657675317,1.6908908657675317
350,resthybrid75,5.9658317923524695,5.000000000000001,7.118229794928693,4571,4.641782698515627,0.0686561102811755
350,resthybrid75,8.493232323171238,7.118229794928693,10.133839082682117,2723,4.697039636598494,0.09001199852238519
350,resthybrid75,12.091355875609787,10.133839082682117,14.426999059072134,1456,4.266197513559471,0.11180475409812861
350,resthybrid75,17.21380993097034,14.426999059072134,20.5389389107391,607,3.0211429420126343,0.12262440931393995
350,resthybrid75,24.5063709469745,20.5389389107391,29.240177382128667,237,2.003705675934529,0.13015467001080408
350,resthybrid75,34.888395968065744,29.240177382128667,41.62766037009365,83,1.1919737033556232,0.13083611147600066
350,resthybrid75,49.66872393543112,41.62766037009365,59.26305046791458,35,0.8538068325297671,0.14431969544576212
350,resthybrid75,70.71067811865476,59.26305046791458,84.36960231581453,15,0.6215639818102502,0.16048713001023124
350,resthybrid75,100.66697116076413,84.36960231581453,120.11244339814311,9,0.6334904761475824,0.2111634920491941
350,resthybrid75,143.3141266963557,120.11244339814311,170.99759466766963,0,,
350,resthybrid75,204.02857733683695,170.99759466766963,243.4400346449093,0,,
350,resthybrid75,290.4644596431972,243.4400346449093,346.5724215775732,0,,
350,resthybrid75,413.5185542000137,346.5724215775732,493.39642747481366,0,,
350,resthybrid75,588.7040186524744,493.39642747481366,702.4218301525182,0,,
350,resthybrid75,838.10609719326,702.4218301525182,1000.0,1,1.6908908657675317,1.6908908657675317
350,aless,5.9658317923524695,5.000000000000001,7.118229794928693,3441,3.494284459766412,0.05956839798326509
350,aless,8.493232323171238,7.118229794928693,10.133839082682117,1991,3.4343760251441804,0.07696835659326222
350,aless,12.091355875609787,10.133839082682117,14.426999059072134,918,2.6898140916535676,0.08877709379716049
350,aless,17.21380993097034,14.426999059072134,20.5389389107391,409,2.0356630367103254,0.10065705895965563
350,aless,24.5063709469745,20.5389389107391,29.240177382128667,148,1.2512592406679761,0.10285287601114279
350,aless,34.888395968065744,29.240177382128667,41.62766037009365,68,0.9765567690142455,0.11842490317816595
350,aless,49.66872393543112,41.62766037009365,59.26305046791458,15,0.36591721394132876,0.09447941837902551
350,aless,70.71067811865476,59.26305046791458,84.36960231581453,14,0.5801263830229002,0.1550452975928631
350,aless,100.66697116076413,84.36960231581453,120.11244339814311,4,0.28155132273225886,0.1407756613661294
350,aless,143.3141266963557,120.11244339814311,170.99759466766963,1,0.11956403974306176,0.11956403974306176
350,aless,204.02857733683695,170.99759466766963,243.4400346449093,0,,
350,aless,290.4644596431972,243.4400346449093,346.5724215775732,0,,
350,aless,413.5185542000137,346.5724215775732,493.39642747481366,0,,
350,aless,588.7040186524744,493.39642747481366,702.4218301525182,0,,
350,aless,838.10609719326,702.4218301525182,1000.0,1,1.6908908657675317,1.6908908657675317
350,wang_raw,5.9658317923524695,5.000000000000001,7.118229794928693,1381,1.4023850156749245,0.03773726516176834
350,wang_raw,8.493232323171238,7.118229794928693,10.133839082682117,1502,2.5908753338857653,0.0668515606071962
350,wang_raw,12.091355875609787,10.133839082682117,14.426999059072134,1206,3.5336773360939024,0.10175440922813246
350,wang_raw,17.21380993097034,14.426999059072134,20.5389389107391,792,3.9419196212092364,0.14007001450967427
350,wang_raw,24.5063709469745,20.5389389107391,29.240177382128667,403,3.4071450945215833,0.16972198618139034
350,wang_raw,34.888395968065744,29.240177382128667,41.62766037009365,133,1.9100301511602154,0.16562061861626848
350,wang_raw,49.66872393543112,41.62766037009365,59.26305046791458,31,0.7562289088120794,0.13582272156857192
350,wang_raw,70.71067811865476,59.26305046791458,84.36960231581453,5,0.20718799393675008,0.0926572877128775
350,wang_raw,100.66697116076413,84.36960231581453,120.11244339814311,0,,
350,wang_raw,143.3141266963557,120.11244339814311,170.99759466766963,0,,
350,wang_raw,204.02857733683695,170.99759466766963,243.4400346449093,0,,
350,wang_raw,290.4644596431972,243.4400346449093,346.5724215775732,0,,
350,wang_raw,413.5185542000137,346.5724215775732,493.39642747481366,0,,
350,wang_raw,588.7040186524744,493.39642747481366,702.4218301525182,0,,
350,wang_raw,838.10609719326,702.4218301525182,1000.0,0,,
500,fsps_lirnorm,5.9658317923524695,5.000000000000001,7.118229794928693,5338,5.420659821631243,0.07419298918636116
500,fsps_lirnorm,8.493232323171238,7.118229794928693,10.133839082682117,3445,5.942453745164089,0.10124444332569257
500,fsps_lirnorm,12.091355875609787,10.133839082682117,14.426999059072134,2006,5.877741903983722,0.13123360152953154
500,fsps_lirnorm,17.21380993097034,14.426999059072134,20.5389389107391,973,4.842787615450236,0.15525264324874696
