external_source,model_uid,model,model_label,model_family,N_points,chi2_log,median_log10_model_over_obs,reduced_chi2_log
Pearson et al. / Table 3 SUSSEXtractor,hybrid::resthybrid50,resthybrid50,50% ALESS,FSPS/ALESS hybrid,88,568.380406126448,-0.1071584716114121,6.4588682514369085
Clements et al. / Table 1,casey::casey_T30_a20,casey_T30_a20,Casey T30K a=2.0,Casey-like template,70,454.7033185948945,-0.1488344118733069,6.495761694212779
Clements et al. / Table 1,casey::casey_T35_a30,casey_T35_a30,Casey T35K a=3.0,Casey-like template,68,448.37415190256775,-0.2486507489909906,6.593737527978938
Varnish et al. / Table 4 P(D) best-fit spline,casey::casey_T30_a15,casey_T30_a15,Casey T30K a=1.5,Casey-like template,30,200.26740188748343,-0.2944971910784716,6.675580062916114
Glenn et al. / Table 4 P(D) spline no FIRAS,hybrid::resthybrid25,resthybrid25,25% ALESS,FSPS/ALESS hybrid,22,147.58768631884251,0.1985542575332641,6.708531196311023
Pearson et al. / Table 4 XID,hybrid::resthybrid75,resthybrid75,75% ALESS,FSPS/ALESS hybrid,58,391.47077332275194,-0.4091589129273978,6.749496091771585
Varnish et al. / Table 4 P(D) best-fit spline,hybrid::aless,aless,ALESS,empirical template,30,203.5797042764228,-0.3232203924271697,6.785990142547427
Pearson et al. / Table 3 SUSSEXtractor,casey::casey_T25_a20,casey_T25_a20,Casey T25K a=2.0,Casey-like template,88,611.5225613804866,0.0343869719618386,6.949120015687348
Pearson et al. / Table 4 XID,casey::casey_T35_a30,casey_T35_a30,Casey T35K a=3.0,Casey-like template,58,413.41851354855316,-0.4467884274685948,7.127905406009537
Glenn et al. / Table 4 P(D) spline no FIRAS,hybrid::resthybrid75,resthybrid75,75% ALESS,FSPS/ALESS hybrid,22,158.21458143051194,-0.1256912778027685,7.191571883205088
Oliver et al. / Table 2,casey::casey_T35_a15,casey_T35_a15,Casey T35K a=1.5,Casey-like template,30,216.01399480961743,-0.6362260587143063,7.200466493653915
Oliver et al. / Table 2,casey::casey_T40_a20,casey_T40_a20,Casey T40K a=2.0,Casey-like template,30,232.78000258983548,-0.8020615210093984,7.759333419661183
Pearson et al. / Table 3 SUSSEXtractor,mbb::mbb_T35,mbb_T35,MBB 35 K,modified blackbody,88,687.299036733383,-0.2374061245849221,7.810216326515715
Glenn et al. / Table 4 P(D) spline no FIRAS,casey::casey_T35_a25,casey_T35_a25,Casey T35K a=2.5,Casey-like template,22,176.5100846476227,-0.2496175945555659,8.023185665801032
Varnish et al. / Table 4 P(D) best-fit spline,mbb::mbb_T30,mbb_T30,MBB 30 K,modified blackbody,30,241.7820991439334,0.2216103227743494,8.05940330479778
Pearson et al. / Table 3 SUSSEXtractor,hybrid::fsps_lirnorm,fsps_lirnorm,FSPS,baseline,88,721.9300506657446,0.181580913885636,8.203750575747097
Oliver et al. / Table 2,casey::casey_T45_a30,casey_T45_a30,Casey T45K a=3.0,Casey-like template,30,246.45116230076042,-0.7131882525549982,8.215038743358681
Pearson et al. / Table 3 SUSSEXtractor,casey::casey_T25_a15,casey_T25_a15,Casey T25K a=1.5,Casey-like template,88,727.5197677435976,-0.172294675649763,8.267270087995428
Oliver et al. / Table 2,mbb::mbb_T25,mbb_T25,MBB 25 K,modified blackbody,30,248.26077652867474,0.6763698912852767,8.27535921762249
Varnish et al. / Table 4 P(D) best-fit spline,casey::casey_T35_a20,casey_T35_a20,Casey T35K a=2.0,Casey-like template,30,249.67756512988552,-0.3952517556696875,8.322585504329517
Pearson et al. / Table 3 SUSSEXtractor,mbb::mbb_T30,mbb_T30,MBB 30 K,modified blackbody,88,750.4210766069539,0.1374450320851881,8.527512234169931
Glenn et al. / Table 4 P(D) spline no FIRAS,mbb::mbb_T30,mbb_T30,MBB 30 K,modified blackbody,22,189.3213444312616,0.4239837319310672,8.605515655966435
Varnish et al. / Table 4 P(D) best-fit spline,casey::casey_T25_a20,casey_T25_a20,Casey T25K a=2.0,Casey-like template,30,258.1982997614038,0.1562870663186383,8.606609992046794
Pearson et al. / Table 4 XID,mbb::mbb_T25,mbb_T25,MBB 25 K,modified blackbody,58,519.6803411927139,0.3965554045664917,8.960005882632997
Pearson et al. / Table 3 SUSSEXtractor,hybrid::wang_snr3,wang_snr3,Wang raw SNR>=3,FSPS/ALESS hybrid,78,700.6665652372518,-0.2446904855653775,8.982904682528869
