band_um,model,model_label,N_points,chi2_log,reduced_chi2_log,median_log10_model_over_obs,rms_log10_model_over_obs,mean_abs_log10_model_over_obs,area_scenario,area_deg2,external_source
250,fsps_lirnorm,FSPS,13,33.393843997101875,2.5687572305462982,0.07242504517785153,0.2024398875889571,0.17153355304872464,old_2deg2_counterfactual,2.0,Valiante et al. / Table 5 area-weighted GAMA9/12/15
250,resthybrid25,25% ALESS,13,48.79308628199765,3.753314329384435,-0.10679199040458229,0.30299732642630833,0.2209331862131516,old_2deg2_counterfactual,2.0,Valiante et al. / Table 5 area-weighted GAMA9/12/15
250,resthybrid50,50% ALESS,13,125.61245211932481,9.66249631687114,-0.3035099090184391,0.30449029081632206,0.25318662663038816,old_2deg2_counterfactual,2.0,Valiante et al. / Table 5 area-weighted GAMA9/12/15
250,resthybrid75,75% ALESS,13,256.2599014753016,19.712300113484737,-0.42755089944821156,0.4432788468945862,0.3886609597797906,old_2deg2_counterfactual,2.0,Valiante et al. / Table 5 area-weighted GAMA9/12/15
250,wang_raw,Wang raw,9,209.8239014645279,23.313766829391987,-0.5987852124868605,0.7304384060373559,0.6822470085746517,old_2deg2_counterfactual,2.0,Valiante et al. / Table 5 area-weighted GAMA9/12/15
all,aless,ALESS,13,380.0821843489242,29.2370911037634,-0.549435052995735,,,old_2deg2_counterfactual,2.0,Valiante et al. / Table 5 area-weighted GAMA9/12/15
all,fsps_lirnorm,FSPS,13,33.393843997101875,2.5687572305462982,0.07242504517785153,,,old_2deg2_counterfactual,2.0,Valiante et al. / Table 5 area-weighted GAMA9/12/15
all,resthybrid25,25% ALESS,13,48.79308628199765,3.753314329384435,-0.10679199040458229,,,old_2deg2_counterfactual,2.0,Valiante et al. / Table 5 area-weighted GAMA9/12/15
all,resthybrid50,50% ALESS,13,125.61245211932481,9.66249631687114,-0.3035099090184391,,,old_2deg2_counterfactual,2.0,Valiante et al. / Table 5 area-weighted GAMA9/12/15
all,resthybrid75,75% ALESS,13,256.2599014753016,19.712300113484737,-0.42755089944821156,,,old_2deg2_counterfactual,2.0,Valiante et al. / Table 5 area-weighted GAMA9/12/15
all,wang_raw,Wang raw,9,209.8239014645279,23.313766829391987,-0.5987852124868605,,,old_2deg2_counterfactual,2.0,Valiante et al. / Table 5 area-weighted GAMA9/12/15
350,aless,ALESS,13,328.08271781697135,25.237132139767027,-0.33024164833951747,0.5674927701984701,0.48059858756752366,old_2deg2_counterfactual,2.0,Valiante et al. / Table 8 area-weighted GAMA9/12/15
350,fsps_lirnorm,FSPS,13,102.31875064249174,7.870673126345518,0.28665258472873495,0.41037688549752044,0.32370739007020227,old_2deg2_counterfactual,2.0,Valiante et al. / Table 8 area-weighted GAMA9/12/15
