external_source,paper,method_or_table,band_um,flux_mjy,flux_regime,model_label,observed_euclidean_jy15_deg2,model_euclidean_jy15_deg2,log10_model_over_obs,sigma_log,chi2_log
Pearson et al. / Table 3 SUSSEXtractor,Pearson et al.,Table 3 SUSSEXtractor,250,27.7,10-30 mJy,25% ALESS,8.074446365978476,6.722774324742888,-0.07956422133777463,0.09013876401225009,0.7791345018739313
Pearson et al. / Table 3 SUSSEXtractor,Pearson et al.,Table 3 SUSSEXtractor,250,31.7,30-100 mJy,25% ALESS,6.621331152421351,6.15908550242824,-0.03142907563104147,0.09385709414027554,0.11213185528538935
Pearson et al. / Table 3 SUSSEXtractor,Pearson et al.,Table 3 SUSSEXtractor,250,36.3,30-100 mJy,25% ALESS,7.0448875060183465,5.631521180061603,-0.0972483407843564,0.09554660259269365,1.035938329515173
Pearson et al. / Table 3 SUSSEXtractor,Pearson et al.,Table 3 SUSSEXtractor,250,41.6,30-100 mJy,25% ALESS,6.452659973174515,5.126818735714888,-0.09989081754400486,0.09972650087511385,1.0032980609471356
Pearson et al. / Table 3 SUSSEXtractor,Pearson et al.,Table 3 SUSSEXtractor,250,47.6,30-100 mJy,25% ALESS,3.874620698369786,4.672334604977601,0.08130474266703247,0.11419063153315581,0.5069566327609657
Pearson et al. / Table 3 SUSSEXtractor,Pearson et al.,Table 3 SUSSEXtractor,250,54.5,30-100 mJy,25% ALESS,4.821240731755657,4.150405958972598,-0.06506823905140624,0.11498804469326493,0.32020840613369345
Pearson et al. / Table 3 SUSSEXtractor,Pearson et al.,Table 3 SUSSEXtractor,250,62.4,30-100 mJy,25% ALESS,3.782049023180632,3.644475827069194,-0.016092079897161216,0.12942827751555683,0.015458452558546278
Pearson et al. / Table 3 SUSSEXtractor,Pearson et al.,Table 3 SUSSEXtractor,250,71.4,30-100 mJy,25% ALESS,2.714825725136257,3.1634231238626187,0.06641532906209396,0.15302636550619478,0.18836670042131295
Pearson et al. / Table 3 SUSSEXtractor,Pearson et al.,Table 3 SUSSEXtractor,250,81.8,30-100 mJy,25% ALESS,2.1318457269627262,2.3407514846441675,0.04059953415287937,0.18615880466238272,0.04756362402972644
Pearson et al. / Table 3 SUSSEXtractor,Pearson et al.,Table 3 SUSSEXtractor,250,93.7,30-100 mJy,25% ALESS,1.5267101769749332,1.7326295882870884,0.05494912602793817,0.24347600717047302,0.05093417036178769
Pearson et al. / Table 3 SUSSEXtractor,Pearson et al.,Table 3 SUSSEXtractor,350,10.8,10-30 mJy,25% ALESS,1.1911980597180911,7.371864696393444,0.791593378211075,0.1211075623732568,42.723003778327
Pearson et al. / Table 3 SUSSEXtractor,Pearson et al.,Table 3 SUSSEXtractor,350,12.6,10-30 mJy,25% ALESS,1.651070252593246,7.418723492216797,0.6525636317583687,0.11123643005630816,34.415306974119545
