band_um,model,model_label,T_dust_K,alpha_mir,flux_mjy,bin_min_mjy,bin_max_mjy,N_bin,euclidean_jy15_deg2,euclidean_err_jy15_deg2
500,casey_T25_a30,Casey T25K a=3.0,25,3.0,8.493232323171238,7.118229794928693,10.133839082682117,3846,6.634158811001766,0.10697473607100096
500,casey_T25_a30,Casey T25K a=3.0,25,3.0,12.091355875609787,10.133839082682117,14.426999059072134,2289,6.7069547448747455,0.14018530136885513
500,casey_T25_a30,Casey T25K a=3.0,25,3.0,17.21380993097034,14.426999059072134,20.5389389107391,1171,5.828267520752545,0.17031818891976214
500,casey_T25_a30,Casey T25K a=3.0,25,3.0,24.5063709469745,20.5389389107391,29.240177382128667,528,4.463951885626293,0.1942685701372106
500,casey_T25_a30,Casey T25K a=3.0,25,3.0,34.888395968065744,29.240177382128667,41.62766037009365,210,3.0158370807792876,0.20811253020333717
500,casey_T25_a30,Casey T25K a=3.0,25,3.0,49.66872393543112,41.62766037009365,59.26305046791458,102,2.4882370548010355,0.24637218061547617
500,casey_T25_a30,Casey T25K a=3.0,25,3.0,70.71067811865476,59.26305046791458,84.36960231581453,25,1.0359399696837504,0.20718799393675005
500,casey_T25_a30,Casey T25K a=3.0,25,3.0,100.66697116076413,84.36960231581453,120.11244339814311,12,0.8446539681967764,0.2438305979552472
500,casey_T25_a30,Casey T25K a=3.0,25,3.0,143.3141266963557,120.11244339814311,170.99759466766963,7,0.8369482782014322,0.3163367149063845
500,casey_T25_a30,Casey T25K a=3.0,25,3.0,204.02857733683695,170.99759466766963,243.4400346449093,3,0.6092911002208198,0.35177438072733347
500,casey_T25_a30,Casey T25K a=3.0,25,3.0,290.4644596431972,243.4400346449093,346.5724215775732,0,,
500,casey_T25_a30,Casey T25K a=3.0,25,3.0,413.5185542000137,346.5724215775732,493.39642747481366,0,,
500,casey_T25_a30,Casey T25K a=3.0,25,3.0,588.7040186524744,493.39642747481366,702.4218301525182,0,,
500,casey_T25_a30,Casey T25K a=3.0,25,3.0,838.10609719326,702.4218301525182,1000.0,0,,
250,casey_T30_a15,Casey T30K a=1.5,30,1.5,5.9658317923524695,5.000000000000001,7.118229794928693,4852,4.927134030452378,0.07073493849517577
250,casey_T30_a15,Casey T30K a=1.5,30,1.5,8.493232323171238,7.118229794928693,10.133839082682117,3002,5.178300767193786,0.09451090627137745
250,casey_T30_a15,Casey T30K a=1.5,30,1.5,12.091355875609787,10.133839082682117,14.426999059072134,1628,4.770171395655782,0.1182243087911611
250,casey_T30_a15,Casey T30K a=1.5,30,1.5,17.21380993097034,14.426999059072134,20.5389389107391,741,3.688083888025308,0.13548514698715902
250,casey_T30_a15,Casey T30K a=1.5,30,1.5,24.5063709469745,20.5389389107391,29.240177382128667,298,2.5194273899936275,0.14594651007654766
250,casey_T30_a15,Casey T30K a=1.5,30,1.5,34.888395968065744,29.240177382128667,41.62766037009365,102,1.4648351535213682,0.14504029281250422
250,casey_T30_a15,Casey T30K a=1.5,30,1.5,49.66872393543112,41.62766037009365,59.26305046791458,35,0.8538068325297671,0.14431969544576212
250,casey_T30_a15,Casey T30K a=1.5,30,1.5,70.71067811865476,59.26305046791458,84.36960231581453,26,1.0773775684711004,0.21129112481312642
250,casey_T30_a15,Casey T30K a=1.5,30,1.5,100.66697116076413,84.36960231581453,120.11244339814311,8,0.5631026454645177,0.19908684955602235
250,casey_T30_a15,Casey T30K a=1.5,30,1.5,143.3141266963557,120.11244339814311,170.99759466766963,2,0.23912807948612352,0.1690890865767537
250,casey_T30_a15,Casey T30K a=1.5,30,1.5,204.02857733683695,170.99759466766963,243.4400346449093,0,,
250,casey_T30_a15,Casey T30K a=1.5,30,1.5,290.4644596431972,243.4400346449093,346.5724215775732,0,,
250,casey_T30_a15,Casey T30K a=1.5,30,1.5,413.5185542000137,346.5724215775732,493.39642747481366,0,,
250,casey_T30_a15,Casey T30K a=1.5,30,1.5,588.7040186524744,493.39642747481366,702.4218301525182,0,,
250,casey_T30_a15,Casey T30K a=1.5,30,1.5,838.10609719326,702.4218301525182,1000.0,1,1.6908908657675317,1.6908908657675317
350,casey_T30_a15,Casey T30K a=1.5,30,1.5,5.9658317923524695,5.000000000000001,7.118229794928693,3496,3.5501361439533206,0.0600425731888497
350,casey_T30_a15,Casey T30K a=1.5,30,1.5,8.493232323171238,7.118229794928693,10.133839082682117,2046,3.529248291032141,0.07802421328739531
350,casey_T30_a15,Casey T30K a=1.5,30,1.5,12.091355875609787,10.133839082682117,14.426999059072134,942,2.7601360286902623,0.08993009137247222
350,casey_T30_a15,Casey T30K a=1.5,30,1.5,17.21380993097034,14.426999059072134,20.5389389107391,420,2.0904119203382314,0.10200165727752816
350,casey_T30_a15,Casey T30K a=1.5,30,1.5,24.5063709469745,20.5389389107391,29.240177382128667,150,1.2681681493256514,0.10354549579658363
350,casey_T30_a15,Casey T30K a=1.5,30,1.5,34.888395968065744,29.240177382128667,41.62766037009365,62,0.8903899952776945,0.11307964247996621
350,casey_T30_a15,Casey T30K a=1.5,30,1.5,49.66872393543112,41.62766037009365,59.26305046791458,19,0.46349513765901645,0.10633307715148033
350,casey_T30_a15,Casey T30K a=1.5,30,1.5,70.71067811865476,59.26305046791458,84.36960231581453,12,0.4972511854482002,0.14354405288668945
350,casey_T30_a15,Casey T30K a=1.5,30,1.5,100.66697116076413,84.36960231581453,120.11244339814311,5,0.3519391534153235,0.15739197419607814
350,casey_T30_a15,Casey T30K a=1.5,30,1.5,143.3141266963557,120.11244339814311,170.99759466766963,1,0.11956403974306176,0.11956403974306176
350,casey_T30_a15,Casey T30K a=1.5,30,1.5,204.02857733683695,170.99759466766963,243.4400346449093,0,,
350,casey_T30_a15,Casey T30K a=1.5,30,1.5,290.4644596431972,243.4400346449093,346.5724215775732,0,,
350,casey_T30_a15,Casey T30K a=1.5,30,1.5,413.5185542000137,346.5724215775732,493.39642747481366,0,,
350,casey_T30_a15,Casey T30K a=1.5,30,1.5,588.7040186524744,493.39642747481366,702.4218301525182,0,,
350,casey_T30_a15,Casey T30K a=1.5,30,1.5,838.10609719326,702.4218301525182,1000.0,1,1.6908908657675317,1.6908908657675317
500,casey_T30_a15,Casey T30K a=1.5,30,1.5,5.9658317923524695,5.000000000000001,7.118229794928693,1478,1.5008870768772906,0.03904008918999753
500,casey_T30_a15,Casey T30K a=1.5,30,1.5,8.493232323171238,7.118229794928693,10.133839082682117,714,1.2316145062546182,0.046092014474774984
500,casey_T30_a15,Casey T30K a=1.5,30,1.5,12.091355875609787,10.133839082682117,14.426999059072134,304,0.8907445357981314,0.0510877028428303
500,casey_T30_a15,Casey T30K a=1.5,30,1.5,17.21380993097034,14.426999059072134,20.5389389107391,137,0.6818724597293755,0.058256295755595565
500,casey_T30_a15,Casey T30K a=1.5,30,1.5,24.5063709469745,20.5389389107391,29.240177382128667,54,0.45654053375723447,0.06212729747795018
500,casey_T30_a15,Casey T30K a=1.5,30,1.5,34.888395968065744,29.240177382128667,41.62766037009365,13,0.186694676429194,0.05177978682473978
500,casey_T30_a15,Casey T30K a=1.5,30,1.5,49.66872393543112,41.62766037009365,59.26305046791458,10,0.24394480929421916,0.0771421220745145
500,casey_T30_a15,Casey T30K a=1.5,30,1.5,70.71067811865476,59.26305046791458,84.36960231581453,3,0.12431279636205005,0.07177202644334472
500,casey_T30_a15,Casey T30K a=1.5,30,1.5,100.66697116076413,84.36960231581453,120.11244339814311,0,,
500,casey_T30_a15,Casey T30K a=1.5,30,1.5,143.3141266963557,120.11244339814311,170.99759466766963,0,,
500,casey_T30_a15,Casey T30K a=1.5,30,1.5,204.02857733683695,170.99759466766963,243.4400346449093,0,,
500,casey_T30_a15,Casey T30K a=1.5,30,1.5,290.4644596431972,243.4400346449093,346.5724215775732,0,,
500,casey_T30_a15,Casey T30K a=1.5,30,1.5,413.5185542000137,346.5724215775732,493.39642747481366,1,0.5860161419724547,0.5860161419724547
500,casey_T30_a15,Casey T30K a=1.5,30,1.5,588.7040186524744,493.39642747481366,702.4218301525182,0,,
500,casey_T30_a15,Casey T30K a=1.5,30,1.5,838.10609719326,702.4218301525182,1000.0,0,,
250,casey_T30_a20,Casey T30K a=2.0,30,2.0,5.9658317923524695,5.000000000000001,7.118229794928693,5892,5.983238604168469,0.07794799582646432
250,casey_T30_a20,Casey T30K a=2.0,30,2.0,8.493232323171238,7.118229794928693,10.133839082682117,4237,7.308614373950724,0.1122808820574565
250,casey_T30_a20,Casey T30K a=2.0,30,2.0,12.091355875609787,10.133839082682117,14.426999059072134,2459,7.2050684655513315,0.1452977361287812
250,casey_T30_a20,Casey T30K a=2.0,30,2.0,17.21380993097034,14.426999059072134,20.5389389107391,1319,6.564888864109826,0.18076110212384175
250,casey_T30_a20,Casey T30K a=2.0,30,2.0,24.5063709469745,20.5389389107391,29.240177382128667,573,4.844402330423988,0.202377810673711
250,casey_T30_a20,Casey T30K a=2.0,30,2.0,34.888395968065744,29.240177382128667,41.62766037009365,214,3.0732815966036546,0.21008520492221466
250,casey_T30_a20,Casey T30K a=2.0,30,2.0,49.66872393543112,41.62766037009365,59.26305046791458,71,1.7320081459889562,0.20555154995020353
250,casey_T30_a20,Casey T30K a=2.0,30,2.0,70.71067811865476,59.26305046791458,84.36960231581453,25,1.0359399696837504,0.20718799393675005
250,casey_T30_a20,Casey T30K a=2.0,30,2.0,100.66697116076413,84.36960231581453,120.11244339814311,17,1.1965931216121,0.29021646066436746
250,casey_T30_a20,Casey T30K a=2.0,30,2.0,143.3141266963557,120.11244339814311,170.99759466766963,7,0.8369482782014322,0.3163367149063845
250,casey_T30_a20,Casey T30K a=2.0,30,2.0,204.02857733683695,170.99759466766963,243.4400346449093,2,0.4061940668138798,0.287222579121836
250,casey_T30_a20,Casey T30K a=2.0,30,2.0,290.4644596431972,243.4400346449093,346.5724215775732,0,,
250,casey_T30_a20,Casey T30K a=2.0,30,2.0,413.5185542000137,346.5724215775732,493.39642747481366,0,,
250,casey_T30_a20,Casey T30K a=2.0,30,2.0,588.7040186524744,493.39642747481366,702.4218301525182,0,,
250,casey_T30_a20,Casey T30K a=2.0,30,2.0,838.10609719326,702.4218301525182,1000.0,1,1.6908908657675317,1.6908908657675317
350,casey_T30_a20,Casey T30K a=2.0,30,2.0,5.9658317923524695,5.000000000000001,7.118229794928693,4699,4.771764799896069,0.06961074898945402
350,casey_T30_a20,Casey T30K a=2.0,30,2.0,8.493232323171238,7.118229794928693,10.133839082682117,2996,5.167951065460554,0.09441641109067118
350,casey_T30_a20,Casey T30K a=2.0,30,2.0,12.091355875609787,10.133839082682117,14.426999059072134,1635,4.790681960624818,0.11847820390228726
350,casey_T30_a20,Casey T30K a=2.0,30,2.0,17.21380993097034,14.426999059072134,20.5389389107391,744,3.70301540174201,0.13575913138627582
350,casey_T30_a20,Casey T30K a=2.0,30,2.0,24.5063709469745,20.5389389107391,29.240177382128667,303,2.5616996616378156,0.14716580035292115
350,casey_T30_a20,Casey T30K a=2.0,30,2.0,34.888395968065744,29.240177382128667,41.62766037009365,113,1.6228075720383786,0.1526608948387421
350,casey_T30_a20,Casey T30K a=2.0,30,2.0,49.66872393543112,41.62766037009365,59.26305046791458,47,1.14654060368283,0.1672401354081869
350,casey_T30_a20,Casey T30K a=2.0,30,2.0,70.71067811865476,59.26305046791458,84.36960231581453,16,0.6630015805976002,0.16575039514940004
350,casey_T30_a20,Casey T30K a=2.0,30,2.0,100.66697116076413,84.36960231581453,120.11244339814311,6,0.4223269840983882,0.17241426927492606
350,casey_T30_a20,Casey T30K a=2.0,30,2.0,143.3141266963557,120.11244339814311,170.99759466766963,5,0.5978201987153088,0.2673533205299726
350,casey_T30_a20,Casey T30K a=2.0,30,2.0,204.02857733683695,170.99759466766963,243.4400346449093,0,,
350,casey_T30_a20,Casey T30K a=2.0,30,2.0,290.4644596431972,243.4400346449093,346.5724215775732,0,,
350,casey_T30_a20,Casey T30K a=2.0,30,2.0,413.5185542000137,346.5724215775732,493.39642747481366,0,,
350,casey_T30_a20,Casey T30K a=2.0,30,2.0,588.7040186524744,493.39642747481366,702.4218301525182,0,,
350,casey_T30_a20,Casey T30K a=2.0,30,2.0,838.10609719326,702.4218301525182,1000.0,1,1.6908908657675317,1.6908908657675317
500,casey_T30_a20,Casey T30K a=2.0,30,2.0,5.9658317923524695,5.000000000000001,7.118229794928693,2175,2.2086802383004787,0.047359075378609415
