model_label,band_um,flux_regime,N_points,chi2_log,median_log10_model_over_obs,mean_abs_log10_model_over_obs,reduced_chi2_log
50% ALESS,350,30-100 mJy,27,143.55271166391626,-0.1952320965677935,0.25876193775610834,5.316767098663565
50% ALESS,350,100-300 mJy,7,47.95745957579669,0.6449157111388101,0.6216550431566185,6.851065653685241
50% ALESS,500,10-30 mJy,15,49.6061030617876,-0.020950943944371553,0.17216768219460826,3.307073537452507
50% ALESS,500,30-100 mJy,22,69.02005400485932,0.07312553576757766,0.30764472670544085,3.13727518203906
50% ALESS,500,100-300 mJy,5,45.233402209169924,0.9435255230058324,0.933781715967408,9.046680441833985
MBB 35 K,250,10-30 mJy,17,94.69038703506533,0.08983620718222518,0.16564599050795537,5.570022766768549
MBB 35 K,250,30-100 mJy,32,64.40852923560867,-0.16560926203228213,0.15600445716740294,2.012766538612771
MBB 35 K,250,100-300 mJy,6,25.63814137340325,0.23668505577006915,0.4364733117164799,4.273023562233875
MBB 35 K,350,10-30 mJy,17,91.37337532428008,-0.09038770452233069,0.20596375615872067,5.3749044308400045
MBB 35 K,350,30-100 mJy,27,137.30618513448576,-0.216460759051809,0.25528288749998473,5.085414264240213
MBB 35 K,350,100-300 mJy,6,13.39025807960132,0.25060027336167123,0.3035423280788261,2.2317096799335534
MBB 35 K,500,10-30 mJy,15,89.19312446617575,-0.25020429719983495,0.28044134955393596,5.946208297745049
MBB 35 K,500,30-100 mJy,22,92.48716254594862,-0.1713550839924383,0.3473028214515463,4.203961933906755
MBB 35 K,500,100-300 mJy,5,18.150046196369793,0.7104733592933878,0.7184324590476644,3.6300092392739587
Casey T30K a=2.5,250,10-30 mJy,17,89.57104429211223,0.09620606565433798,0.16219431502560935,5.268884958359543
Casey T30K a=2.5,250,30-100 mJy,32,74.64486332204982,-0.16845648400839877,0.16443013637934276,2.3326519788140567
Casey T30K a=2.5,250,100-300 mJy,7,10.765649479290532,-0.03750481825140328,0.2885959312141737,1.5379499256129332
Casey T30K a=2.5,350,10-30 mJy,17,90.26010816705939,-0.006209275900171174,0.18826982716877744,5.309418127474082
Casey T30K a=2.5,350,30-100 mJy,27,87.54253271665858,-0.14604949828965053,0.19762900486084736,3.2423160265429107
Casey T30K a=2.5,350,100-300 mJy,6,24.54954941745945,0.48682578164265644,0.48122400116921843,4.0915915695765745
Casey T30K a=2.5,500,10-30 mJy,15,44.01665920948411,-0.06792152372150434,0.17236523304638682,2.9344439472989405
Casey T30K a=2.5,500,30-100 mJy,22,58.13955304154413,-0.0025078730184167064,0.28539000237893125,2.642706956433824
Casey T30K a=2.5,500,100-300 mJy,5,17.344976315726996,0.5248379709207297,0.6219421688156233,3.4689952631453993
Casey T30K a=3.0,250,10-30 mJy,17,117.36090408472946,0.17765561744133884,0.19149477243240676,6.9035825932193795
Casey T30K a=3.0,250,30-100 mJy,32,20.582234155434577,-0.05726479719309979,0.0847889880673573,0.6431948173573305
Casey T30K a=3.0,250,100-300 mJy,7,22.016429810636627,0.25218948906023764,0.3880720903060682,3.145204258662375
Casey T30K a=3.0,350,10-30 mJy,17,105.23700912515562,0.06438839803671637,0.1956452990212425,6.190412301479743
Casey T30K a=3.0,350,30-100 mJy,27,60.335735501699844,-0.01534333673312055,0.16192453220558226,2.2346568704333274
Casey T30K a=3.0,350,100-300 mJy,6,44.6386937871402,0.645855780889429,0.6127810881468521,7.439782297856699
Casey T30K a=3.0,500,10-30 mJy,15,45.55681555358646,0.005015458760936037,0.15452425969281577,3.037121036905764
Casey T30K a=3.0,500,30-100 mJy,22,46.30368728282421,0.10461513681073645,0.25816904079992553,2.104713058310191
Casey T30K a=3.0,500,100-300 mJy,5,53.47986373815007,0.8006155221662945,0.8842728559239419,10.695972747630014
ALESS,250,10-30 mJy,17,185.5822639292529,-0.27134004749558976,0.2925852570535856,10.916603760544287
ALESS,250,30-100 mJy,32,591.7849203613762,-0.5526778363363165,0.5417429721236019,18.493278761293006
ALESS,250,100-300 mJy,7,21.332679303727897,0.16779445641914773,0.40263737559550156,3.047525614818271
