band_um,model,model_label,T_dust_K,alpha_mir,N_points,chi2_log,reduced_chi2_log,median_log10_model_over_obs,external_source
all,casey_T40_a20,Casey T40K a=2.0,40,2.0,35,775.8465793512594,22.167045124321696,-0.7332723129887276,Clements et al. / Table 1
250,casey_T40_a25,Casey T40K a=2.5,40,2.5,13,361.5894993556364,27.814576873510493,-0.6274715791322469,Clements et al. / Table 1
350,casey_T40_a25,Casey T40K a=2.5,40,2.5,12,254.93849714827613,21.244874762356343,-0.5188021206543469,Clements et al. / Table 1
500,casey_T40_a25,Casey T40K a=2.5,40,2.5,10,29.049347995292752,2.904934799529275,-0.16763665889002172,Clements et al. / Table 1
all,casey_T40_a25,Casey T40K a=2.5,40,2.5,35,645.5773444992053,18.44506698569158,-0.5188021206543469,Clements et al. / Table 1
250,casey_T40_a30,Casey T40K a=3.0,40,3.0,13,281.50082061811287,21.653909278316373,-0.5761195619489358,Clements et al. / Table 1
350,casey_T40_a30,Casey T40K a=3.0,40,3.0,12,233.65988215359448,19.471656846132873,-0.43481502158500723,Clements et al. / Table 1
500,casey_T40_a30,Casey T40K a=3.0,40,3.0,10,28.87453568670417,2.8874535686704172,-0.16763665889002172,Clements et al. / Table 1
all,casey_T40_a30,Casey T40K a=3.0,40,3.0,35,544.0352384584114,15.543863955954611,-0.43481502158500723,Clements et al. / Table 1
250,casey_T45_a15,Casey T45K a=1.5,45,1.5,13,576.1830043897712,44.32176956844394,-1.112946027329112,Clements et al. / Table 1
350,casey_T45_a15,Casey T45K a=1.5,45,1.5,12,251.2223354240283,20.935194618669026,-1.047250761675329,Clements et al. / Table 1
500,casey_T45_a15,Casey T45K a=1.5,45,1.5,8,30.12193882059605,3.7652423525745062,-0.49108880243627356,Clements et al. / Table 1
all,casey_T45_a15,Casey T45K a=1.5,45,1.5,33,857.5272786343955,25.985675110133197,-1.047250761675329,Clements et al. / Table 1
250,casey_T45_a20,Casey T45K a=2.0,45,2.0,13,553.1178549660597,42.547527305081516,-1.0892304727399336,Clements et al. / Table 1
350,casey_T45_a20,Casey T45K a=2.0,45,2.0,12,271.89616493928366,22.658013744940305,-1.0051166000326623,Clements et al. / Table 1
500,casey_T45_a20,Casey T45K a=2.0,45,2.0,8,31.379134417802206,3.9223918022252757,-0.599276601660778,Clements et al. / Table 1
all,casey_T45_a20,Casey T45K a=2.0,45,2.0,33,856.3931543231455,25.951307706761984,-1.0051166000326623,Clements et al. / Table 1
250,casey_T45_a25,Casey T45K a=2.5,45,2.5,13,516.7921386173001,39.75324143210001,-0.906881506763106,Clements et al. / Table 1
350,casey_T45_a25,Casey T45K a=2.5,45,2.5,12,277.7703557781865,23.14752964818221,-0.8827070191586519,Clements et al. / Table 1
500,casey_T45_a25,Casey T45K a=2.5,45,2.5,9,31.240202989448434,3.4711336654942704,-0.3875395415203515,Clements et al. / Table 1
all,casey_T45_a25,Casey T45K a=2.5,45,2.5,34,825.8026973849351,24.288314628968678,-0.8827070191586519,Clements et al. / Table 1
