band_um,model,x_low_mjy,x_high_mjy,x_median_mjy,N,median_log10_ratio,p16_log10_ratio,p84_log10_ratio
350,FSPS/ALESS,10.0,17.78279410038923,12.107662414228141,1237,0.041273855735836563,-0.19661498781744682,0.39889623928935425
350,FSPS/ALESS,17.78279410038923,31.622776601683793,21.173111187797854,303,0.02224019825011475,-0.22672453254238575,0.3400241108078258
350,FSPS/ALESS,31.622776601683793,56.23413251903491,37.2789754854593,59,0.05712141617169553,-0.19902700899552606,0.4239763291380839
350,FSPS/ALESS,56.23413251903491,100.0,67.85687788222633,15,0.06924475331824821,-0.1908265483038282,0.27490783815338343
500,FSPS/ALESS,0.1,0.1778279410038923,0.1345684782131843,11435,0.5579922423519027,0.3021215499506228,0.742604187618063
500,FSPS/ALESS,0.1778279410038923,0.31622776601683794,0.2388058282668278,13530,0.5132090737008947,0.24802434947465077,0.7297057298391666
500,FSPS/ALESS,0.31622776601683794,0.5623413251903491,0.4239284775458688,14909,0.47510037079865397,0.21478472815167912,0.7091215723536368
500,FSPS/ALESS,0.5623413251903491,1.0,0.7474630839221366,14885,0.4337044885022017,0.17444620823663132,0.6924325686620685
500,FSPS/ALESS,1.0,1.7782794100389228,1.3013779865194368,12635,0.38349330209866006,0.13944249974892964,0.643135641938001
500,FSPS/ALESS,1.7782794100389228,3.1622776601683795,2.2817443571066707,8241,0.3217470628530442,0.10645990209679657,0.5999743993282121
500,FSPS/ALESS,3.1622776601683795,5.623413251903491,3.980252597859219,4037,0.24976712761018766,0.07023966930571113,0.5170996938185911
500,FSPS/ALESS,5.623413251903491,10.0,6.932950237747672,1444,0.21344217883795583,0.04885616430779982,0.45024543778943416
500,FSPS/ALESS,10.0,17.78279410038923,11.814767112114733,377,0.17275168713817834,0.015035841532475613,0.40190907875183074
500,FSPS/ALESS,17.78279410038923,31.622776601683793,20.354639553051683,92,0.16628288442964811,0.016492112677428707,0.43929447781266745
500,FSPS/ALESS,31.622776601683793,56.23413251903491,38.33751860477251,18,0.20650517451619804,0.021374309757175764,0.3896971002166586
850,FSPS/ALESS,0.1,0.1778279410038923,0.13333157371070148,14092,0.6677952000149361,0.4289159859246225,0.81377653481486
850,FSPS/ALESS,0.1778279410038923,0.31622776601683794,0.23544863777498504,13512,0.6210550754279922,0.3869461988121135,0.7768363886591904
850,FSPS/ALESS,0.31622776601683794,0.5623413251903491,0.4106424439694972,11004,0.5624406495842593,0.35880708891392593,0.7380908139957438
850,FSPS/ALESS,0.5623413251903491,1.0,0.7245242243494735,7015,0.49443827810434665,0.32337456878992465,0.6943536270363106
850,FSPS/ALESS,1.0,1.7782794100389228,1.2581979016813563,3628,0.4339982164523329,0.30003714257512587,0.6441970677740821
850,FSPS/ALESS,1.7782794100389228,3.1622776601683795,2.18613561228749,1419,0.4111377537099147,0.2842022394176233,0.6242827773592681
850,FSPS/ALESS,3.1622776601683795,5.623413251903491,3.84237419554475,447,0.36352652619348125,0.2408589846681012,0.5972203485954999
850,FSPS/ALESS,5.623413251903491,10.0,6.762307637598103,116,0.34268277401101405,0.24186542334174221,0.542499992503282
850,FSPS/ALESS,10.0,17.78279410038923,13.328409801757779,19,0.41824164606055775,0.29982939924238844,0.5848260343282895
