band_um,model,model_label,N_points,chi2_log,reduced_chi2_log,median_log10_model_over_obs,rms_log10_model_over_obs,mean_abs_log10_model_over_obs,area_scenario,area_deg2,external_source,sky_field,survey_family,score_set
all,resthybrid50,50% ALESS,29,195.88092491011554,6.75451465207295,-0.3548803281879268,,,old_2deg2_counterfactual,2.0,Pearson Dark Field XID,SPIRE Dark Field near North Ecliptic Pole,SPIRE Dark Field,clean_independent
all,resthybrid75,75% ALESS,29,424.97627029804266,14.654354148208368,-0.6036580547689976,,,old_2deg2_counterfactual,2.0,Pearson Dark Field XID,SPIRE Dark Field near North Ecliptic Pole,SPIRE Dark Field,clean_independent
all,wang_raw,Wang raw,29,330.8381949992993,11.408213620665492,-0.5097683563558001,,,old_2deg2_counterfactual,2.0,Pearson Dark Field XID,SPIRE Dark Field near North Ecliptic Pole,SPIRE Dark Field,clean_independent
250,aless,ALESS,13,380.0821843489242,29.2370911037634,-0.549435052995735,0.5732313262178271,0.5223062377420615,old_2deg2_counterfactual,2.0,Valiante H-ATLAS DR1,H-ATLAS DR1 GAMA9+GAMA12+GAMA15,H-ATLAS,clean_independent
250,fsps_lirnorm,FSPS,13,33.393843997101875,2.5687572305462982,0.07242504517785153,0.2024398875889571,0.17153355304872464,old_2deg2_counterfactual,2.0,Valiante H-ATLAS DR1,H-ATLAS DR1 GAMA9+GAMA12+GAMA15,H-ATLAS,clean_independent
250,resthybrid25,25% ALESS,13,48.79308628199765,3.753314329384435,-0.10679199040458229,0.30299732642630833,0.2209331862131516,old_2deg2_counterfactual,2.0,Valiante H-ATLAS DR1,H-ATLAS DR1 GAMA9+GAMA12+GAMA15,H-ATLAS,clean_independent
250,resthybrid50,50% ALESS,13,125.61245211932481,9.66249631687114,-0.3035099090184391,0.30449029081632206,0.25318662663038816,old_2deg2_counterfactual,2.0,Valiante H-ATLAS DR1,H-ATLAS DR1 GAMA9+GAMA12+GAMA15,H-ATLAS,clean_independent
250,resthybrid75,75% ALESS,13,256.2599014753016,19.712300113484737,-0.42755089944821156,0.4432788468945862,0.3886609597797906,old_2deg2_counterfactual,2.0,Valiante H-ATLAS DR1,H-ATLAS DR1 GAMA9+GAMA12+GAMA15,H-ATLAS,clean_independent
250,wang_raw,Wang raw,9,209.8239014645279,23.313766829391987,-0.5987852124868605,0.7304384060373559,0.6822470085746517,old_2deg2_counterfactual,2.0,Valiante H-ATLAS DR1,H-ATLAS DR1 GAMA9+GAMA12+GAMA15,H-ATLAS,clean_independent
350,aless,ALESS,13,328.08271781697135,25.237132139767027,-0.33024164833951747,0.5674927701984701,0.48059858756752366,old_2deg2_counterfactual,2.0,Valiante H-ATLAS DR1,H-ATLAS DR1 GAMA9+GAMA12+GAMA15,H-ATLAS,clean_independent
350,fsps_lirnorm,FSPS,13,102.31875064249174,7.870673126345518,0.28665258472873495,0.41037688549752044,0.32370739007020227,old_2deg2_counterfactual,2.0,Valiante H-ATLAS DR1,H-ATLAS DR1 GAMA9+GAMA12+GAMA15,H-ATLAS,clean_independent
350,resthybrid25,25% ALESS,13,57.217754941376825,4.4013657647212945,-0.021493162042272113,0.27596540208708165,0.22118109721714652,old_2deg2_counterfactual,2.0,Valiante H-ATLAS DR1,H-ATLAS DR1 GAMA9+GAMA12+GAMA15,H-ATLAS,clean_independent
350,resthybrid50,50% ALESS,13,124.31398827620298,9.562614482784845,0.08441627485297082,0.35294129299834986,0.3123922992140518,old_2deg2_counterfactual,2.0,Valiante H-ATLAS DR1,H-ATLAS DR1 GAMA9+GAMA12+GAMA15,H-ATLAS,clean_independent
350,resthybrid75,75% ALESS,13,245.45341427325587,18.88103186717353,-0.10275035956700085,0.48545304129014805,0.43407628440420076,old_2deg2_counterfactual,2.0,Valiante H-ATLAS DR1,H-ATLAS DR1 GAMA9+GAMA12+GAMA15,H-ATLAS,clean_independent
350,wang_raw,Wang raw,5,160.04674982759676,32.00934996551935,-0.6516748875226953,0.5786827998681786,0.5606588454184877,old_2deg2_counterfactual,2.0,Valiante H-ATLAS DR1,H-ATLAS DR1 GAMA9+GAMA12+GAMA15,H-ATLAS,clean_independent
