regime,model_family,model_key,model_label,T_dust_K,N_points,chi2_log,median_log10_model_over_obs,reduced_chi2_log,template_param_count_simple,dof_simple,reduced_chi2_log_simple_dof,rank_original,rank_simple_dof,rank_shift_simple_dof_minus_original
resolved/prior counts,modified blackbody,mbb_T35,MBB 35 K,35.0,121,552.0139042065937,-0.1273984363513046,4.562098381872676,1,120,4.600115868388281,6.0,6.0,0.0
resolved/prior counts,modified blackbody,mbb_T30,MBB 30 K,30.0,122,674.9118733724624,0.1509082282250679,5.532064535839856,1,121,5.577784077458367,7.0,7.0,0.0
resolved/prior counts,Casey-like template,casey_T25_a15,Casey T25K a=1.5,25.0,123,697.4164600948616,-0.1758334853625934,5.670052521096435,2,121,5.763772397478195,8.0,8.0,0.0
resolved/prior counts,Casey-like template,casey_T30_a20,Casey T30K a=2.0,30.0,123,793.1426978622154,-0.2677346624114439,6.448314616765979,2,121,6.554898329439797,9.0,9.0,0.0
resolved/prior counts,baseline,fsps_lirnorm,FSPS,,123,904.923376374577,0.2673187850005047,7.357100620931519,0,123,7.3571006209315195,10.0,10.0,0.0
resolved/prior counts,Casey-like template,casey_T35_a30,Casey T35K a=3.0,35.0,122,945.644335801052,-0.2680035413435244,7.751183080336491,2,120,7.880369465008767,11.0,11.0,0.0
resolved/prior counts,Casey-like template,casey_T25_a25,Casey T25K a=2.5,25.0,122,1005.5717580749892,0.218673674700745,8.24239145963106,2,120,8.37976465062491,12.0,12.0,0.0
resolved/prior counts,FSPS/ALESS hybrid,resthybrid75,75% ALESS,,123,1057.6971589032055,-0.3335977091544447,8.599163893521997,1,122,8.669648843468897,13.0,13.0,0.0
resolved/prior counts,Casey-like template,casey_T35_a25,Casey T35K a=2.5,35.0,122,1303.4429391838728,-0.3593032245556496,10.683958517900596,2,120,10.86202449319894,14.0,14.0,0.0
resolved/prior counts,Casey-like template,casey_T25_a30,Casey T25K a=3.0,25.0,122,1477.4997692290676,0.3168284337767269,12.1106538461399,2,120,12.312498076908897,15.0,15.0,0.0
resolved/prior counts,modified blackbody,mbb_T40,MBB 40 K,40.0,122,1609.8869112264183,-0.4260536041668092,13.195794354314906,1,121,13.304850506003458,16.0,16.0,0.0
resolved/prior counts,empirical template,aless,ALESS,,123,1748.9018249343153,-0.459955433078105,14.218714023856222,0,123,14.218714023856222,17.0,17.0,0.0
resolved/prior counts,Casey-like template,casey_T30_a15,Casey T30K a=1.5,30.0,123,1795.709587589949,-0.4498191375460477,14.599264939755685,2,121,14.840575104049165,18.0,18.0,0.0
resolved/prior counts,Casey-like template,casey_T35_a20,Casey T35K a=2.0,35.0,123,2063.5061127171143,-0.525462912487187,16.77647246111475,2,121,17.053769526587722,19.0,19.0,0.0
resolved/prior counts,Casey-like template,casey_T40_a30,Casey T40K a=3.0,40.0,123,2299.832433138464,-0.5619184119415307,18.697824659662302,2,121,19.006879612714577,20.0,20.0,0.0
resolved/prior counts,modified blackbody,mbb_T25,MBB 25 K,25.0,122,2603.728572532877,0.4701261348445824,21.34203747977768,1,121,21.518417954817167,21.0,21.0,0.0
resolved/prior counts,Casey-like template,casey_T40_a25,Casey T40K a=2.5,40.0,123,2802.347751020244,-0.6254372491869338,22.783315048945067,2,121,23.159898768762346,22.0,22.0,0.0
resolved/prior counts,modified blackbody,mbb_T45,MBB 45 K,45.0,122,3079.071506528181,-0.6473699679447343,25.23829103711624,1,121,25.446871954778356,23.0,23.0,0.0
resolved/prior counts,Casey-like template,casey_T35_a15,Casey T35K a=1.5,35.0,123,3302.3148036931984,-0.7688800076192208,26.848087834904053,2,121,27.29185788176197,24.0,24.0,0.0
resolved/prior counts,Casey-like template,casey_T40_a20,Casey T40K a=2.0,40.0,123,3595.6769913326816,-0.7998229845172755,29.233146270997413,2,121,29.716338771344475,25.0,25.0,0.0
resolved/prior counts,Casey-like template,casey_T45_a30,Casey T45K a=3.0,45.0,122,3809.1014580689375,-0.7744627791643772,31.22214309892572,2,120,31.74251215057448,26.0,26.0,0.0
resolved/prior counts,Casey-like template,casey_T45_a25,Casey T45K a=2.5,45.0,122,4264.830481171895,-0.8947942629608789,34.9576268948516,2,120,35.540254009765796,27.0,27.0,0.0
resolved/prior counts,modified blackbody,mbb_T50,MBB 50 K,50.0,120,4418.642346808871,-1.013780749482296,36.822019556740585,1,119,37.131448292511514,28.0,28.0,0.0
resolved/prior counts,Casey-like template,casey_T40_a15,Casey T40K a=1.5,40.0,122,4680.5018125088345,-1.0148545348535984,38.364768954990446,2,120,39.00418177090695,29.0,29.0,0.0
resolved/prior counts,Casey-like template,casey_T45_a20,Casey T45K a=2.0,45.0,120,4850.291369535735,-1.0687793777229522,40.41909474613112,2,118,41.10416414860792,30.0,30.0,0.0
resolved/prior counts,Casey-like template,casey_T45_a15,Casey T45K a=1.5,45.0,120,5602.843161158791,-1.1263175732416042,46.69035967632326,2,118,47.48172170473552,31.0,31.0,0.0
resolved/prior counts,modified blackbody,mbb_T20,MBB 20 K,20.0,123,5996.872402529605,0.7817942536322081,48.75506018316752,1,122,49.154691824013156,32.0,32.0,0.0
